Goals,Words,,,,,,,,,,,,,,,,
Goal 1,"Poverty, microfinance",,,,,,,,,,,,,,,,
Goal 2,"hunger, food security, nutrition, agriculture",,,,,,,,,,,,,,,,
Goal 3,"healthcare, disease, healthy lives,  Maternal mortality,  premature mortality, HIV, AIDS, Tuberculosis, Malaria, Hepatitis, tropical diseases , water-borne diseases, traffic accidents, reproductive health, family planning, mental health,  well-being,  drug abuse, alcohol, traffic accidents, essential medicines, vaccines, hazardous chemicals,  pollution,  contamination, Tobacco, smoking",,,,,,,,,,,,,,,,
Goal 4,"education, lifelong learning, literacy",,,,,,,,,,,,,,,,
Goal 5,"gender equality, discrimination, unpaid care ",,,,,,,,,,,,,,,,
Goal 6,"water, affordable drinking water, sanitation, untreated wastewater, water scarcity, desalination",,,,,,,,,,,,,,,water supply,wastewater treatment
Goal 7,"sustainable energy, renewable energy, energy efficiency,  clean energy",,,,,,,,,,,,,,,,
Goal 8,"productive employment,  decent work, economic growth, sustainable economic growth, decent work, equal pay, sustainable tourism, youth employment",,,,,,,,,,,,,,,,
Goal 9,"resilient infrastructure, sustainable industrialization, foster innovation, Enhance scientific research, domestic technology development, affordable access to the Internet",,,,,,,,,,,,,,,,
Goal 10,"Reduce inequality, inequality,  remittance, disparity",,,,,,,,,,,,,,,,
Goal 11,"sustainable cities, slum, sustainable transport, public transport, green spaces, public spaces, urbanization",,,,,,,,,,,,,,,,
Goal 12,"sustainable consumption and production, sustainable consumption,  food waste, recycling, reuse, sustainability information, public procurement, fossil-fuel subsidies",,,,,,,,,,,,,,,,
Goal 13,"climate change, Co2, GHG, climate change mitigation, climate change adaptation, Green Climate Fund",,,,,,,,,,,,,,,,
Goal 14,"marine pollution, marine ecosystems, coastal ecosystems, ocean acidification, overfishing, fishing, fish stocks, aquaculture, marine technology",,,,,,,,,,,,,,,,
Goal 15,"desertification, biodiversity loss, deforestation, afforestation, reforestation, ecosystems, extinction, threatened species, genetic resources, illegal wildlife",,,,,,,,,,,,,,,,
Goal 16,"violence, torture, rule of law, organized crime, corruption, global governance,  terrorism ",,,,,,,,,,,,,,,,
Goal 17,"tax collection, official development assistance, public-private",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
